"index","eco","title","pgn","last_ply","sq_from","sq_to","sq_check","fen"
"1183","C49","Four knights: Symmetrical, Pillsbury Variation","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Bb4 5. O-O O-O 6. d3 d6 7. Bg5 Ne7","7.  ... Ne7","c6","e7","","r1bq1rk1/ppp1nppp/3p1n2/1B2p1B1/1b2P3/2NP1N2/PPP2PPP/R2Q1RK1 w - - 2 8"
"1184","C49","Four knights: Symmetrical, Blake Variation","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Bb4 5. O-O O-O 6. d3 d6 7. Bg5 Ne7 8. Nh4 c6 9. Bc4 d5 10. Bb3 Qd6","10.  ... Qd6","d8","d6","","r1b2rk1/pp2nppp/2pq1n2/3pp1B1/1b2P2N/1BNP4/PPP2PPP/R2Q1RK1 w - - 2 11"
"1185","C49","Four knights: Symmetrical, Tarrasch Variation","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Bb4 5. O-O O-O 6. d3 d6 7. Bg5 Be6","7.  ... Be6","c8","e6","","r2q1rk1/ppp2ppp/2npbn2/1B2p1B1/1b2P3/2NP1N2/PPP2PPP/R2Q1RK1 w - - 2 8"
"1186","C49","Four knights: Symmetrical, Maroczy system","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Bb4 5. O-O O-O 6. d3 d6 7. Ne2","7. Ne2 ... ","c3","e2","","r1bq1rk1/ppp2ppp/2np1n2/1B2p3/1b2P3/3P1N2/PPP1NPPP/R1BQ1RK1 b - - 1 7"
"1187","C49","Four knights: Nimzovich (Paulsen) Variation","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Bb4 5. O-O O-O 6. Bxc6","6. Bxc6 ... ","b5","c6","","r1bq1rk1/pppp1ppp/2B2n2/4p3/1b2P3/2N2N2/PPPP1PPP/R1BQ1RK1 b - - 0 6"
"1188","C50","King's pawn game","1. e4 e5 2. Nf3 Nc6 3. Bc4","3. Bc4 ... ","f1","c4","","r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3"
"1189","C50","Blackburne shilling gambit","1. e4 e5 2. Nf3 Nc6 3. Bc4 Nd4 4. Nxe5 Qg5 5. Nxf7 Qxg2 6. Rf1 Qxe4+ 7. Be2 Nf3","7.  ... Nf3#","d4","f3","e1","r1b1kbnr/pppp1Npp/8/8/4q3/5n2/PPPPBP1P/RNBQKR2 w Qkq - 2 8"
"1190","C50","Rousseau gambit","1. e4 e5 2. Nf3 Nc6 3. Bc4 f5","3.  ... f5","f7","f5","","r1bqkbnr/pppp2pp/2n5/4pp2/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4"
"1191","C50","Hungarian defense","1. e4 e5 2. Nf3 Nc6 3. Bc4 Be7","3.  ... Be7","f8","e7","","r1bqk1nr/ppppbppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4"
"1192","C50","Hungarian defense: Tartakower Variation","1. e4 e5 2. Nf3 Nc6 3. Bc4 Be7 4. d4 exd4 5. c3 Nf6 6. e5 Ne4","6.  ... Ne4","f6","e4","","r1bqk2r/ppppbppp/2n5/4P3/2Bpn3/2P2N2/PP3PPP/RNBQK2R w KQkq - 1 7"
